name,accidents_count
Melbourne (3000),1080
Brunswick,406
Richmond,346
Carlton,321
Fitzroy,296
St Kilda,272
South Yarra,269
Brighton,249
Fitzroy North,245
Melbourne (3004),245
Collingwood,220
Northcote,218
North Melbourne,194
Prahran,185
Carlton North,173
West Melbourne,170
Parkville,161
South Melbourne,160
Preston,159
Coburg,158
Hawthorn,157
Kew,153
East Melbourne,150
Docklands,141
Footscray,136
Abbotsford,131
Albert Park,131
Southbank,117
Thornbury,117
Reservoir,107
Windsor,106
Brunswick East,106
Elwood,104
Kensington,91
Clifton Hill,90
Glen Iris,89
Port Melbourne,87
Elsternwick,87
Williamstown,83
Black Rock,81
Beaumaris,81
St Kilda East,79
Sandringham,77
Fairfield,76
Hampton,74
Ascot Vale,72
Caulfield North,71
Cremorne,68
Altona,68
Camberwell,66
Moonee Ponds,65
Yarraville,65
Essendon,60
Newport,60
Carnegie,59
Malvern East,58
Flemington,58
Toorak,52
Brunswick West,51
Brighton East,50
Bentleigh East,48
St Kilda West,47
Balaclava,47
Middle Park,45
Caulfield,42
Bentleigh,40
Burnley,39
Hawthorn East,38
Balwyn North,38
Altona Meadows,38
Caulfield South,37
Princes Hill,36
Balwyn,36
Coburg North,36
Pascoe Vale,34
Malvern,34
Canterbury,30
Ormond,29
Glenroy,28
Fawkner,26
Altona North,25
Braybrook,24
Hughesdale,23
McKinnon,22
West Footscray,21
Strathmore,21
Ripponlea,21
Seddon,21
Maribyrnong,21
Armadale,20
Glen Huntly,17
South Wharf,17
Essendon North,16
Airport West,16
Murrumbeena,16
Maidstone,15
Spotswood,14
Pascoe Vale South,14
Hampton East,12
Kingsbury,12
Gardenvale,12
Aberfeldie,12
Ashburton,12
Caulfield East,10
Niddrie,10
Avondale Heights,9
Hadfield,9
Kooyong,8
Seabrook,8
Travancore,8
Deepdene,8
Kew East,8
Williamstown North,7
Oak Park,5
Kingsville,5
Strathmore Heights,4
Tottenham,3
Seaholme,3
Essendon Fields,2
Essendon West,1
South Kingsville,1
